GEMS Contest ID,Contest Sort Seq,District Type,District Type Subheading,District Name,Ballot Title,Ballots Counted for District,Registered Voters for District,Percent Turnout for District,Candidate Sort Seq,Ballot Response,Party Preference,Votes,Percent of Votes
123,650,City,,City of Federal Way,Council Position No. 4,15659,46992,"33.32 ",30,Write-in,,42,"0.30 "
123,650,City,,City of Federal Way,Council Position No. 4,15659,46992,"33.32 ",20,Diana Noble-Gulliford,,6654,"46.92 "
395,3,State,,State of Washington,Advisory Vote No. 18,546200,1279345,"42.69 ",2,Maintained,,263466,"52.40 "
395,3,State,,State of Washington,Advisory Vote No. 18,546200,1279345,"42.69 ",1,Repealed,,239303,"47.60 "
104,460,City,,City of Covington,Council Position No. 4,3329,11717,"28.41 ",20,David Lucavish,,891,"29.87 "
104,460,City,,City of Covington,Council Position No. 4,3329,11717,"28.41 ",10,"Joseph T. Cimaomo, Jr.",,2081,"69.76 "
104,460,City,,City of Covington,Council Position No. 4,3329,11717,"28.41 ",30,Write-in,,11,"0.37 "
72,140,Court of Appeals,,"Court of Appeals, Division No. 1, District No. 1",Judge Position No. 2,546200,1279345,"42.69 ",30,Write-in,,1663,"0.39 "
72,140,Court of Appeals,,"Court of Appeals, Division No. 1, District No. 1",Judge Position No. 2,546200,1279345,"42.69 ",10,Michael S. Spearman,,324760,"75.98 "
72,140,Court of Appeals,,"Court of Appeals, Division No. 1, District No. 1",Judge Position No. 2,546200,1279345,"42.69 ",20,Nathan W. S. Choi,,101016,"23.63 "
179,1210,City,,City of Pacific,Council Position No. 4,727,3230,"22.51 ",20,Write-in,,25,"4.77 "
179,1210,City,,City of Pacific,Council Position No. 4,727,3230,"22.51 ",10,Vic Kave,,499,"95.23 "
382,3240,Special Purpose District,Community Municipal Corporation,East Bellevue Community Municipal Corporation,Council Position No. 2,2428,6274,"38.70 ",10,Betsi Hummer,,1559,"98.17 "
382,3240,Special Purpose District,Community Municipal Corporation,East Bellevue Community Municipal Corporation,Council Position No. 2,2428,6274,"38.70 ",20,Write-in,,29,"1.83 "
147,890,City,,City of Kirkland,Municipal Court Judge,24287,54160,"44.84 ",10,Michael J. Lambo,,15241,"99.28 "
147,890,City,,City of Kirkland,Municipal Court Judge,24287,54160,"44.84 ",20,Write-in,,110,"0.72 "
278,2200,School,,Northshore School District No. 417,Director District No. 1,25250,54396,"46.42 ",30,Write-in,,40,"0.20 "
278,2200,School,,Northshore School District No. 417,Director District No. 1,25250,54396,"46.42 ",10,Brian M. Travis,,5499,"26.83 "
278,2200,School,,Northshore School District No. 417,Director District No. 1,25250,54396,"46.42 ",20,Jacqueline McGourty,,14956,"72.97 "
180,1220,City,,City of Pacific,Council Position No. 5,727,3230,"22.51 ",10,Stacy May Oliveira,,497,"95.76 "
180,1220,City,,City of Pacific,Council Position No. 5,727,3230,"22.51 ",20,Write-in,,22,"4.24 "
337,2685,Special Purpose District,Water District,King County Water District No. 54,Commissioner Position No. 1,998,2153,"46.35 ",20,Write-in,,4,"0.62 "
337,2685,Special Purpose District,Water District,King County Water District No. 54,Commissioner Position No. 1,998,2153,"46.35 ",10,Yoshiko Grace Matsui,,644,"99.38 "
237,1790,School,,Seattle School District No. 1,Director District No. 7,224937,457220,"49.20 ",10,Betty Patu,,131351,"68.18 "
237,1790,School,,Seattle School District No. 1,Director District No. 7,224937,457220,"49.20 ",20,Chelsea Byers,,60829,"31.58 "
237,1790,School,,Seattle School District No. 1,Director District No. 7,224937,457220,"49.20 ",30,Write-in,,463,"0.24 "
264,2060,School,,Tahoma School District No. 409,Director District No. 5,10426,27089,"38.49 ",10,Valerie Paganelli,,4427,"52.14 "
264,2060,School,,Tahoma School District No. 409,Director District No. 5,10426,27089,"38.49 ",30,Write-in,,20,"0.24 "
264,2060,School,,Tahoma School District No. 409,Director District No. 5,10426,27089,"38.49 ",20,Fletcher Barkdull,,4044,"47.63 "
82,240,City,,City of Auburn,Council Position No. 6,11578,33860,"34.19 ",10,Larry Brown,,6233,"62.58 "
82,240,City,,City of Auburn,Council Position No. 6,11578,33860,"34.19 ",20,Mike Kahler,,3679,"36.94 "
82,240,City,,City of Auburn,Council Position No. 6,11578,33860,"34.19 ",30,Write-in,,48,"0.48 "
201,1430,City,,City of Shoreline,Council Position No. 3,14463,37451,"38.62 ",20,Write-in,,223,"2.23 "
201,1430,City,,City of Shoreline,Council Position No. 3,14463,37451,"38.62 ",10,Will Hall,,9766,"97.77 "
156,980,City,,City of Medina,Council Position No. 3,953,2231,"42.72 ",10,Jennifer H. Garone,,589,"97.68 "
156,980,City,,City of Medina,Council Position No. 3,953,2231,"42.72 ",20,Write-in,,14,"2.32 "
80,220,City,,City of Auburn,Council Position No. 2,11578,33860,"34.19 ",20,Write-in,,151,"1.90 "
80,220,City,,City of Auburn,Council Position No. 2,11578,33860,"34.19 ",10,Claude DaCorsi,,7816,"98.10 "
304,2460,Special Purpose District,Fire District,King County Fire Protection District No. 43,Commissioner Position No. 4,10406,27326,"38.08 ",10,Ben Hayman,,6291,"99.31 "
304,2460,Special Purpose District,Fire District,King County Fire Protection District No. 43,Commissioner Position No. 4,10406,27326,"38.08 ",20,Write-in,,44,"0.69 "
135,770,City,,City of Kenmore,Council Position No. 6,6041,15040,"40.17 ",20,Carol Baker,,1937,"34.66 "
135,770,City,,City of Kenmore,Council Position No. 6,6041,15040,"40.17 ",30,Write-in,,15,"0.27 "
135,770,City,,City of Kenmore,Council Position No. 6,6041,15040,"40.17 ",10,Debra Srebnik,,3637,"65.07 "
285,2270,Special Purpose District,Fire District,King County Fire Protection District No. 10,Commissioner Position No. 2,5898,15133,"38.97 ",20,Write-in,,46,"1.34 "
285,2270,Special Purpose District,Fire District,King County Fire Protection District No. 10,Commissioner Position No. 2,5898,15133,"38.97 ",10,Donald Smith,,3393,"98.66 "
373,3150,Special Purpose District,Cemetery District,King County Cemetery District No. 1,Commissioner Position No. 2,5072,8667,"58.52 ",10,John R. Kimble,,2920,"99.46 "
373,3150,Special Purpose District,Cemetery District,King County Cemetery District No. 1,Commissioner Position No. 2,5072,8667,"58.52 ",20,Write-in,,16,"0.54 "
160,1020,City,,City of Mercer Island,Council Position No. 4,8754,17663,"49.56 ",20,Joy Langley,,3664,"44.30 "
160,1020,City,,City of Mercer Island,Council Position No. 4,8754,17663,"49.56 ",10,Tom Acker,,4592,"55.52 "
160,1020,City,,City of Mercer Island,Council Position No. 4,8754,17663,"49.56 ",30,Write-in,,15,"0.18 "
105,470,City,,City of Covington,Council Position No. 6,3329,11717,"28.41 ",20,Write-in,,49,"2.08 "
105,470,City,,City of Covington,Council Position No. 6,3329,11717,"28.41 ",10,Fran Hollums,,2304,"97.92 "
370,3120,Special Purpose District,Airport District,King County Airport District,Commissioner Position No. 2,5072,8667,"58.52 ",10,Willie Gerrior,,2835,"99.30 "
370,3120,Special Purpose District,Airport District,King County Airport District,Commissioner Position No. 2,5072,8667,"58.52 ",20,Write-in,,20,"0.70 "
244,1860,School,,Mercer Island School District No. 400,Director Position No. 4,8754,17663,"49.56 ",30,Write-in,,42,"0.57 "
244,1860,School,,Mercer Island School District No. 400,Director Position No. 4,8754,17663,"49.56 ",10,Deborah Schneider Lurie,,4560,"62.24 "
244,1860,School,,Mercer Island School District No. 400,Director Position No. 4,8754,17663,"49.56 ",20,Diana Lein,,2724,"37.18 "
102,440,City,,City of Clyde Hill,Council Position No. 5,935,2177,"42.95 ",20,Write-in,,5,"0.80 "
102,440,City,,City of Clyde Hill,Council Position No. 5,935,2177,"42.95 ",10,Bruce J. Dodds,,620,"99.20 "
136,780,City,,City of Kent,Mayor,19423,61380,"31.64 ",10,Jim Berrios,,8635,"46.11 "
136,780,City,,City of Kent,Mayor,19423,61380,"31.64 ",30,Write-in,,58,"0.31 "
136,780,City,,City of Kent,Mayor,19423,61380,"31.64 ",20,Dana Ralph,,10034,"53.58 "
383,3250,Special Purpose District,Community Municipal Corporation,East Bellevue Community Municipal Corporation,Council Position No. 3,2428,6274,"38.70 ",10,Gerald M. Hughes,,1534,"98.21 "
383,3250,Special Purpose District,Community Municipal Corporation,East Bellevue Community Municipal Corporation,Council Position No. 3,2428,6274,"38.70 ",20,Write-in,,28,"1.79 "
216,1580,City,,City of Woodinville,Council Position No. 3,3912,7542,"51.87 ",20,Write-in,,20,"0.83 "
216,1580,City,,City of Woodinville,Council Position No. 3,3912,7542,"51.87 ",10,James Evans,,2404,"99.17 "
267,2090,School,,Issaquah School District No. 411,Director District No. 2,25552,67682,"37.75 ",10,Marnie Maraldo,,16139,"98.61 "
267,2090,School,,Issaquah School District No. 411,Director District No. 2,25552,67682,"37.75 ",20,Write-in,,228,"1.39 "
403,3229,Special Purpose District,Community Municipal Corporation,East Bellevue Community Municipal Corporation,Proposition No. 1,2428,6274,"38.70 ",2,Against continuation,,434,"19.78 "
403,3229,Special Purpose District,Community Municipal Corporation,East Bellevue Community Municipal Corporation,Proposition No. 1,2428,6274,"38.70 ",1,For continuation,,1760,"80.22 "
214,1560,City,,City of Tukwila,Council Position No. 7,3053,9172,"33.29 ",30,Write-in,,8,"0.28 "
214,1560,City,,City of Tukwila,Council Position No. 7,3053,9172,"33.29 ",20,Laura Ann Garris,,994,"34.41 "
214,1560,City,,City of Tukwila,Council Position No. 7,3053,9172,"33.29 ",10,De'Sean Quinn,,1887,"65.32 "
204,1460,City,,City of Snoqualmie,Mayor,3806,7723,"49.28 ",30,Write-in,,14,"0.38 "
204,1460,City,,City of Snoqualmie,Mayor,3806,7723,"49.28 ",20,Fuzzy Fletcher,,1569,"42.10 "
204,1460,City,,City of Snoqualmie,Mayor,3806,7723,"49.28 ",10,Matt Larson,,2144,"57.53 "
198,1400,City,,City of Seattle,Council Position No. 8,224808,456871,"49.21 ",30,Write-in,,1239,"0.61 "
198,1400,City,,City of Seattle,Council Position No. 8,224808,456871,"49.21 ",10,Teresa Mosqueda,,121192,"59.49 "
198,1400,City,,City of Seattle,Council Position No. 8,224808,456871,"49.21 ",20,Jon Grant,,81302,"39.91 "
109,510,City,,City of Des Moines,Council Position No. 7,6258,17174,"36.44 ",20,Matt Mahoney,,3464,"60.51 "
109,510,City,,City of Des Moines,Council Position No. 7,6258,17174,"36.44 ",10,Chad Harper,,2251,"39.32 "
109,510,City,,City of Des Moines,Council Position No. 7,6258,17174,"36.44 ",30,Write-in,,10,"0.17 "
279,2210,School,,Northshore School District No. 417,Director District No. 2,25250,54396,"46.42 ",20,Sherry Krainick,,7648,"37.27 "
279,2210,School,,Northshore School District No. 417,Director District No. 2,25250,54396,"46.42 ",30,Write-in,,43,"0.21 "
279,2210,School,,Northshore School District No. 417,Director District No. 2,25250,54396,"46.42 ",10,Bob Swain,,12827,"62.52 "
79,210,City,,City of Auburn,Mayor,11578,33860,"34.19 ",10,Nancy Backus,,6254,"55.13 "
79,210,City,,City of Auburn,Mayor,11578,33860,"34.19 ",20,Largo Wales,,5047,"44.49 "
79,210,City,,City of Auburn,Mayor,11578,33860,"34.19 ",30,Write-in,,43,"0.38 "
356,2871,Special Purpose District,Sewer & Water District,Northeast Sammamish Sewer and Water District,Commissioner Position No. 1,4780,8646,"55.29 ",10,Paul J. Robinett,,2908,"99.15 "
356,2871,Special Purpose District,Sewer & Water District,Northeast Sammamish Sewer and Water District,Commissioner Position No. 1,4780,8646,"55.29 ",20,Write-in,,25,"0.85 "
288,2259,Special Purpose District,Fire District,King County Fire Protection District No. 2,Commissioner Position No. 1,13919,32198,"43.23 ",30,Write-in,,39,"0.35 "
288,2259,Special Purpose District,Fire District,King County Fire Protection District No. 2,Commissioner Position No. 1,13919,32198,"43.23 ",20,Rudy Peden,,7750,"69.95 "
288,2259,Special Purpose District,Fire District,King County Fire Protection District No. 2,Commissioner Position No. 1,13919,32198,"43.23 ",10,Gary Hobbick,,3290,"29.70 "
346,2880,Special Purpose District,Sewer & Water District,Ronald Wastewater District,Commissioner Position No. 1,14372,37234,"38.60 ",20,Write-in,,141,"1.55 "
346,2880,Special Purpose District,Sewer & Water District,Ronald Wastewater District,Commissioner Position No. 1,14372,37234,"38.60 ",10,Robert L. (Bob) Ransom,,8955,"98.45 "
67,90,County,,Metropolitan King County Council District No. 1,Council District No. 1,69594,155151,"44.86 ",20,Write-in,,828,"1.75 "
67,90,County,,Metropolitan King County Council District No. 1,Council District No. 1,69594,155151,"44.86 ",10,Rod Dembowski,,46372,"98.25 "
251,1930,School,,Skykomish School District No. 404,Director Position No. 1,145,356,"40.73 ",20,Write-in,,2,"1.77 "
251,1930,School,,Skykomish School District No. 404,Director Position No. 1,145,356,"40.73 ",10,Ginnie Eburn,,111,"98.23 "
309,2510,Special Purpose District,Fire District,Mountain View Fire and Rescue,Commissioner Position No. 1,4604,12863,"35.79 ",10,Joanne Seng,,2727,"98.91 "
309,2510,Special Purpose District,Fire District,Mountain View Fire and Rescue,Commissioner Position No. 1,4604,12863,"35.79 ",20,Write-in,,30,"1.09 "
273,2150,School,,Kent School District No. 415,Director District No. 4,29581,91232,"32.42 ",30,Write-in,,80,"0.31 "
273,2150,School,,Kent School District No. 415,Director District No. 4,29581,91232,"32.42 ",20,Denise Daniels,,13582,"53.17 "
273,2150,School,,Kent School District No. 415,Director District No. 4,29581,91232,"32.42 ",10,Bryon Madsen,,11883,"46.52 "
225,683,City,,Town of Hunts Point,Council Position No. 3,199,362,"54.97 ",20,Write-in,,4,"2.61 "
225,683,City,,Town of Hunts Point,Council Position No. 3,199,362,"54.97 ",10,Ted Frantz,,149,"97.39 "
291,2330,Special Purpose District,Fire District,King County Fire Protection District No. 27,Commissioner Position No. 1,1586,3812,"41.61 ",10,Lilly Hansen,,987,"99.50 "
291,2330,Special Purpose District,Fire District,King County Fire Protection District No. 27,Commissioner Position No. 1,1586,3812,"41.61 ",20,Write-in,,5,"0.50 "
331,2730,Special Purpose District,Water District,King County Water District No. 125,Commissioner Position No. 1,2275,7707,"29.52 ",20,Write-in,,31,"2.09 "
331,2730,Special Purpose District,Water District,King County Water District No. 125,Commissioner Position No. 1,2275,7707,"29.52 ",10,Renea Blanchette,,1452,"97.91 "
338,2686,Special Purpose District,Water District,King County Water District No. 90,Commissioner Position No. 1,5180,15569,"33.27 ",10,Byron Murgatroyd,,3386,"98.98 "
338,2686,Special Purpose District,Water District,King County Water District No. 90,Commissioner Position No. 1,5180,15569,"33.27 ",20,Write-in,,35,"1.02 "
202,1440,City,,City of Shoreline,Council Position No. 5,14463,37451,"38.62 ",10,Susan Chang,,10135,"77.47 "
202,1440,City,,City of Shoreline,Council Position No. 5,14463,37451,"38.62 ",30,Write-in,,49,"0.37 "
202,1440,City,,City of Shoreline,Council Position No. 5,14463,37451,"38.62 ",20,Carolyn Ahlgreen,,2899,"22.16 "
115,570,City,,City of Duvall,Council Position No. 6,2605,4689,"55.56 ",30,Write-in,,2,"0.08 "
115,570,City,,City of Duvall,Council Position No. 6,2605,4689,"55.56 ",10,Jennifer Knaplund,,1503,"61.47 "
115,570,City,,City of Duvall,Council Position No. 6,2605,4689,"55.56 ",20,Will Ibershof,,940,"38.45 "
207,1490,City,,City of Snoqualmie,Council Position No. 3,3806,7723,"49.28 ",30,Write-in,,7,"0.21 "
207,1490,City,,City of Snoqualmie,Council Position No. 3,3806,7723,"49.28 ",10,Bryan Holloway,,1807,"54.05 "
207,1490,City,,City of Snoqualmie,Council Position No. 3,3806,7723,"49.28 ",20,Tom Wood,,1529,"45.74 "
99,410,City,,City of Carnation,Council Position No. 4,469,1262,"37.16 ",20,Write-in,,24,"7.25 "
99,410,City,,City of Carnation,Council Position No. 4,469,1262,"37.16 ",10,Kimberly Lisk,,307,"92.75 "
138,800,City,,City of Kent,Council Position No. 4,19423,61380,"31.64 ",30,Write-in,,38,"0.22 "
138,800,City,,City of Kent,Council Position No. 4,19423,61380,"31.64 ",10,Toni Troutner,,11045,"63.16 "
138,800,City,,City of Kent,Council Position No. 4,19423,61380,"31.64 ",20,Tye Whitfield,,6404,"36.62 "
398,1811,School,,Federal Way School District No. 210,Proposition No. 1,23804,71272,"33.40 ",2,Rejected,,8726,"38.01 "
398,1811,School,,Federal Way School District No. 210,Proposition No. 1,23804,71272,"33.40 ",1,Approved,,14229,"61.99 "
246,1880,School,,Highline School District No. 401,Director District No. 3,25464,69220,"36.79 ",20,Write-in,,228,"1.34 "
246,1880,School,,Highline School District No. 401,Director District No. 3,25464,69220,"36.79 ",10,Joe Van,,16727,"98.66 "
187,1290,City,,City of Renton,Council Position No. 6,15112,52698,"28.68 ",20,Jami Smith,,5949,"43.07 "
187,1290,City,,City of Renton,Council Position No. 6,15112,52698,"28.68 ",10,Ruth Perez,,7790,"56.40 "
187,1290,City,,City of Renton,Council Position No. 6,15112,52698,"28.68 ",30,Write-in,,74,"0.54 "
191,1330,City,,City of Sammamish,Council Position No. 5,16384,36136,"45.34 ",30,Write-in,,9,"0.06 "
191,1330,City,,City of Sammamish,Council Position No. 5,16384,36136,"45.34 ",10,Chris Ross,,7989,"52.77 "
191,1330,City,,City of Sammamish,Council Position No. 5,16384,36136,"45.34 ",20,Rituja Indapure,,7140,"47.17 "
205,1470,City,,City of Snoqualmie,Council Position No. 1,3806,7723,"49.28 ",20,Cristie Coffing,,1600,"46.22 "
205,1470,City,,City of Snoqualmie,Council Position No. 1,3806,7723,"49.28 ",30,Write-in,,3,"0.09 "
205,1470,City,,City of Snoqualmie,Council Position No. 1,3806,7723,"49.28 ",10,Bob Jeans,,1859,"53.70 "
366,3080,Special Purpose District,Hospital District,Public Hospital District No. 2,Commissioner Position No. 6,85334,179432,"47.56 ",10,Minerva Butler,,50666,"99.25 "
366,3080,Special Purpose District,Hospital District,Public Hospital District No. 2,Commissioner Position No. 6,85334,179432,"47.56 ",20,Write-in,,382,"0.75 "
375,3170,Special Purpose District,Park District,Des Moines Pool Metropolitan Park District,Commissioner Position No. 5,6258,17174,"36.44 ",20,Gene S. Achziger,,2840,"54.82 "
375,3170,Special Purpose District,Park District,Des Moines Pool Metropolitan Park District,Commissioner Position No. 5,6258,17174,"36.44 ",10,Nancy Kuehnoel,,2334,"45.05 "
375,3170,Special Purpose District,Park District,Des Moines Pool Metropolitan Park District,Commissioner Position No. 5,6258,17174,"36.44 ",30,Write-in,,7,"0.14 "
124,660,City,,City of Federal Way,Council Position No. 6,15659,46992,"33.32 ",20,Roger Flygare,,6415,"45.59 "
124,660,City,,City of Federal Way,Council Position No. 6,15659,46992,"33.32 ",10,Martin A. Moore,,7534,"53.54 "
124,660,City,,City of Federal Way,Council Position No. 6,15659,46992,"33.32 ",30,Write-in,,122,"0.87 "
183,1250,City,,City of Redmond,Council Position No. 4,13042,29710,"43.90 ",10,Tanika Padhye,,7194,"62.05 "
183,1250,City,,City of Redmond,Council Position No. 4,13042,29710,"43.90 ",20,Eugene Zakhareyev,,4375,"37.74 "
183,1250,City,,City of Redmond,Council Position No. 4,13042,29710,"43.90 ",30,Write-in,,24,"0.21 "
200,1420,City,,City of Shoreline,Council Position No. 1,14463,37451,"38.62 ",30,Write-in,,62,"0.46 "
200,1420,City,,City of Shoreline,Council Position No. 1,14463,37451,"38.62 ",10,Keith A. McGlashan,,7299,"54.61 "
200,1420,City,,City of Shoreline,Council Position No. 1,14463,37451,"38.62 ",20,Jin-Ah Kim,,6004,"44.92 "
70,120,County,,Metropolitan King County Council District No. 7,Council District No. 7,39502,119817,"32.97 ",10,Pete von Reichbauer,,28479,"98.00 "
70,120,County,,Metropolitan King County Council District No. 7,Council District No. 7,39502,119817,"32.97 ",20,Write-in,,582,"2.00 "
319,2610,Special Purpose District,Fire District,Vashon Island Fire and Rescue,Commissioner Position No. 4,5072,8667,"58.52 ",10,Candy McCullough,,2872,"65.62 "
319,2610,Special Purpose District,Fire District,Vashon Island Fire and Rescue,Commissioner Position No. 4,5072,8667,"58.52 ",20,Jan L. Milligan,,1490,"34.04 "
319,2610,Special Purpose District,Fire District,Vashon Island Fire and Rescue,Commissioner Position No. 4,5072,8667,"58.52 ",30,Write-in,,15,"0.34 "
203,1450,City,,City of Shoreline,Council Position No. 7,14463,37451,"38.62 ",20,Write-in,,175,"1.77 "
203,1450,City,,City of Shoreline,Council Position No. 7,14463,37451,"38.62 ",10,Christopher Roberts,,9715,"98.23 "
140,820,City,,City of Kent,Municipal Court Judge Position No. 1,19423,61380,"31.64 ",20,Write-in,,140,"1.04 "
140,820,City,,City of Kent,Municipal Court Judge Position No. 1,19423,61380,"31.64 ",10,Karli Kristine Jorgensen,,13377,"98.96 "
196,1380,City,,City of Seattle,Mayor,224808,456871,"49.21 ",30,Write-in,,2703,"1.23 "
196,1380,City,,City of Seattle,Mayor,224808,456871,"49.21 ",20,Cary Moon,,95251,"43.22 "
196,1380,City,,City of Seattle,Mayor,224808,456871,"49.21 ",10,Jenny Durkan,,122442,"55.56 "
118,600,City,,City of Enumclaw,Council Position No. 3,2991,7388,"40.48 ",10,Kael Johnson,,1441,"53.21 "
118,600,City,,City of Enumclaw,Council Position No. 3,2991,7388,"40.48 ",30,Write-in,,6,"0.22 "
118,600,City,,City of Enumclaw,Council Position No. 3,2991,7388,"40.48 ",20,Anthony Wright,,1261,"46.57 "
250,1920,School,,Renton School District No. 403,Director District No. 5,20564,67605,"30.42 ",10,Pam Teal,,13843,"98.81 "
250,1920,School,,Renton School District No. 403,Director District No. 5,20564,67605,"30.42 ",20,Write-in,,167,"1.19 "
294,2360,Special Purpose District,Fire District,King County Fire Protection District No. 31,Commissioner Position No. 1,16,75,"21.33 ",20,Write-in,,0,"0.00 "
294,2360,Special Purpose District,Fire District,King County Fire Protection District No. 31,Commissioner Position No. 1,16,75,"21.33 ",10,Gerry Bertellotti,,12,"100.00 "
223,681,City,,Town of Hunts Point,Mayor,199,362,"54.97 ",10,Joseph D. Sabey,,145,"93.55 "
223,681,City,,Town of Hunts Point,Mayor,199,362,"54.97 ",20,Write-in,,10,"6.45 "
220,242,City,,Town of Beaux Arts Village,Council Position No. 1,131,251,"52.19 ",20,Write-in,,1,"0.92 "
220,242,City,,Town of Beaux Arts Village,Council Position No. 1,131,251,"52.19 ",10,Aletha Howes,,108,"99.08 "
257,1990,School,,Tukwila School District No. 406,Director District No. 3,2747,8371,"32.82 ",20,Write-in,,29,"1.60 "
257,1990,School,,Tukwila School District No. 406,Director District No. 3,2747,8371,"32.82 ",10,William Gillispie,,1782,"98.40 "
381,3230,Special Purpose District,Community Municipal Corporation,East Bellevue Community Municipal Corporation,Council Position No. 1,2428,6274,"38.70 ",10,William Capron,,631,"31.88 "
381,3230,Special Purpose District,Community Municipal Corporation,East Bellevue Community Municipal Corporation,Council Position No. 1,2428,6274,"38.70 ",20,Steve Kasner,,1337,"67.56 "
381,3230,Special Purpose District,Community Municipal Corporation,East Bellevue Community Municipal Corporation,Council Position No. 1,2428,6274,"38.70 ",30,Write-in,,11,"0.56 "
146,880,City,,City of Kirkland,Council Position No. 7,24287,54160,"44.84 ",20,Uzma Butte,,5695,"27.09 "
146,880,City,,City of Kirkland,Council Position No. 7,24287,54160,"44.84 ",30,Write-in,,53,"0.25 "
146,880,City,,City of Kirkland,Council Position No. 7,24287,54160,"44.84 ",10,Jon Pascal,,15272,"72.65 "
186,1280,City,,City of Renton,Council Position No. 2,15112,52698,"28.68 ",30,Write-in,,40,"0.28 "
186,1280,City,,City of Renton,Council Position No. 2,15112,52698,"28.68 ",10,Armondo Pavone,,8241,"58.68 "
186,1280,City,,City of Renton,Council Position No. 2,15112,52698,"28.68 ",20,Diane Dobson,,5764,"41.04 "
93,350,City,,City of Bothell,Council Position No. 7,6001,16234,"36.97 ",30,Write-in,,13,"0.24 "
93,350,City,,City of Bothell,Council Position No. 7,6001,16234,"36.97 ",10,Thomas E. Agnew,,2877,"54.12 "
93,350,City,,City of Bothell,Council Position No. 7,6001,16234,"36.97 ",20,Aaron Moreau-Cook,,2426,"45.64 "
334,2682,Special Purpose District,Water District,King County Water District No. 20,Commissioner Position No. 1,5851,16917,"34.59 ",30,Write-in,,10,"0.21 "
334,2682,Special Purpose District,Water District,King County Water District No. 20,Commissioner Position No. 1,5851,16917,"34.59 ",20,Heather R. Post,,1331,"27.42 "
334,2682,Special Purpose District,Water District,King County Water District No. 20,Commissioner Position No. 1,5851,16917,"34.59 ",10,Russ Pritchard,,3513,"72.37 "
90,320,City,,City of Bothell,Council Position No. 1,6001,16234,"36.97 ",10,Jeanne Zornes,,4212,"98.48 "
90,320,City,,City of Bothell,Council Position No. 1,6001,16234,"36.97 ",20,Write-in,,65,"1.52 "
363,2922,Special Purpose District,Sewer & Water District,Soos Creek Water and Sewer District,Commissioner Position No. 2,24372,72771,"33.49 ",20,Merle Reeder,,9608,"47.81 "
363,2922,Special Purpose District,Sewer & Water District,Soos Creek Water and Sewer District,Commissioner Position No. 2,24372,72771,"33.49 ",10,Alan Eades,,10432,"51.91 "
363,2922,Special Purpose District,Sewer & Water District,Soos Creek Water and Sewer District,Commissioner Position No. 2,24372,72771,"33.49 ",30,Write-in,,57,"0.28 "
262,2040,School,,Auburn School District No. 408,Director District No. 5,13802,42281,"32.64 ",20,Write-in,,137,"1.46 "
262,2040,School,,Auburn School District No. 408,Director District No. 5,13802,42281,"32.64 ",10,Ryan Van Quill,,9222,"98.54 "
161,1030,City,,City of Mercer Island,Council Position No. 6,8754,17663,"49.56 ",20,Mark Coen,,2893,"35.17 "
161,1030,City,,City of Mercer Island,Council Position No. 6,8754,17663,"49.56 ",10,Benson D. Wong,,5325,"64.74 "
161,1030,City,,City of Mercer Island,Council Position No. 6,8754,17663,"49.56 ",30,Write-in,,7,"0.09 "
311,2530,Special Purpose District,Fire District,Mountain View Fire and Rescue,Commissioner Position No. 5,4604,12863,"35.79 ",20,Don Gentry,,2392,"68.28 "
311,2530,Special Purpose District,Fire District,Mountain View Fire and Rescue,Commissioner Position No. 5,4604,12863,"35.79 ",30,Write-in,,17,"0.49 "
311,2530,Special Purpose District,Fire District,Mountain View Fire and Rescue,Commissioner Position No. 5,4604,12863,"35.79 ",10,Al Hall,,1094,"31.23 "
239,1810,School,,Federal Way School District No. 210,Director District No. 4,23804,71272,"33.40 ",20,Write-in,,360,"2.27 "
239,1810,School,,Federal Way School District No. 210,Director District No. 4,23804,71272,"33.40 ",10,Carol Gregory,,15503,"97.73 "
133,750,City,,City of Kenmore,Council Position No. 2,6041,15040,"40.17 ",10,Suzanne Greathouse,,2419,"43.27 "
133,750,City,,City of Kenmore,Council Position No. 2,6041,15040,"40.17 ",20,Joe Marshall,,3161,"56.55 "
133,750,City,,City of Kenmore,Council Position No. 2,6041,15040,"40.17 ",30,Write-in,,10,"0.18 "
277,2190,School,,Fife School District No. 417,Director District No. 5,983,3095,"31.76 ",20,Write-in,,10,"1.52 "
277,2190,School,,Fife School District No. 417,Director District No. 5,983,3095,"31.76 ",10,Kimberly Palmer Yee,,650,"98.48 "
263,2050,School,,Tahoma School District No. 409,Director District No. 1,10426,27089,"38.49 ",20,Write-in,,86,"1.25 "
263,2050,School,,Tahoma School District No. 409,Director District No. 1,10426,27089,"38.49 ",10,Tami Henkel,,6797,"98.75 "
176,1180,City,,City of North Bend,Council Position No. 4,1651,4411,"37.43 ",20,Rich Wiltshire,,656,"43.44 "
176,1180,City,,City of North Bend,Council Position No. 4,1651,4411,"37.43 ",10,Ross Loudenback,,849,"56.23 "
176,1180,City,,City of North Bend,Council Position No. 4,1651,4411,"37.43 ",30,Write-in,,5,"0.33 "
355,2861,Special Purpose District,Sewer & Water District,Lakehaven Water and Sewer District,Commissioner Position No. 1,22763,67552,"33.70 ",20,Write-in,,220,"1.44 "
355,2861,Special Purpose District,Sewer & Water District,Lakehaven Water and Sewer District,Commissioner Position No. 1,22763,67552,"33.70 ",10,Leonard (Len) Englund,,15064,"98.56 "
